Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","0603-CAP",157.850100,-81.053600,180.000000,top
"C2","22pF","0603-CAP",157.850100,-129.653600,180.000000,top
"C3","100nF","0603-CAP",155.250100,-80.553600,90.000000,top
"C4","100nF","0603-CAP",159.900100,-92.403600,90.000000,top
"C5","22uF","PANASONIC_B_334",153.900100,-57.203600,180.000000,top
"C6","22uF","PANASONIC_B_334",153.950100,-61.753600,0.000000,top
"C7","100nF","0603-CAP",155.250100,-129.153600,90.000000,top
"C8","100nF","0603-CAP",159.950100,-140.253600,90.000000,top
"D3","","SOD123_210",153.850100,-53.053600,0.000000,top
"D4","","SOD123_210",153.750100,-67.353600,180.000000,top
"IC1","LME49720","SO08_262",157.450100,-86.753600,0.000000,top
"IC2","LME49720","SO08_262",157.450100,-134.753600,0.000000,top
"J1","","1X03_NO_SILK",136.450100,-72.753600,-90.000000,top
"J2","","1X03_NO_SILK",136.450100,-96.253600,-90.000000,top
"J3","","1X03_NO_SILK",136.450100,-120.553600,-90.000000,top
"J4","","1X03_NO_SILK",136.450100,-144.053600,-90.000000,top
"J5","","1X03_NO_SILK",151.450100,-72.753600,-90.000000,top
"J6","","1X03_NO_SILK",151.450100,-96.253600,-90.000000,top
"J7","","1X03_NO_SILK",151.450100,-120.553600,-90.000000,top
"J8","","1X03_NO_SILK",151.450100,-144.053600,-90.000000,top
"J9","","1X03_NO_SILK",156.950100,-99.753600,-90.000000,top
"J10","","1X03_NO_SILK",156.950100,-146.253600,-90.000000,top
"J11","","1X05_NO_SILK",157.900100,-65.853600,90.000000,top
"L3","742792664","0603",152.850100,-54.453600,0.000000,top
"L4","742792664","0603",155.750100,-64.953600,90.000000,top
"P2","PTCSMD","PTC-1206",153.150100,-65.003600,180.000000,top
"R1","100k","R0603",154.850100,-74.353600,0.000000,top
"R2","1M67","R0603",154.850100,-76.453600,0.000000,top
"R3","103K","R0603",152.650100,-80.053600,0.000000,top
"R4","439K","R0603",152.650100,-82.153600,0.000000,top
"R5","113k","R0603",152.650100,-91.653600,0.000000,top
"R6","215k","R0603",152.650100,-93.753600,0.000000,top
"R7","141k","R0603",152.650100,-103.853600,0.000000,top
"R8","141k","R0603",152.650100,-105.953600,0.000000,top
"R9","215k","R0603",152.650100,-115.953600,0.000000,top
"R10","113k","R0603",152.650100,-118.053600,0.000000,top
"R11","439k","R0603",152.650100,-128.153600,0.000000,top
"R12","103k","R0603",152.650100,-130.253600,0.000000,top
"R13","1M67","R0603",152.650100,-139.453600,0.000000,top
"R14","100k","R0603",152.650100,-141.553600,0.000000,top
"R15","100k","R0603",155.750100,-92.153600,90.000000,top
"R16","100k","R0603",155.750100,-95.253600,-90.000000,top
"R17","100k","R0603",159.750100,-78.253600,-90.000000,top
"R18","1k","R0603",154.850100,-71.553600,180.000000,top
"R19","100k","R0603",155.250100,-140.153600,90.000000,top
"R20","100k","R0603",157.350100,-141.853600,-90.000000,top
"R21","100k","R0603",157.850100,-127.553600,0.000000,top
"R22","1k","R0603",151.950100,-152.153600,90.000000,top
"R23","100k","R0603",157.650100,-75.653600,90.000000,top
"R24","100k","R0603",154.050100,-152.153600,90.000000,top
"U1","THONKICONNLEFT","WQP-PJ301M-12_JACK_L",140.350100,-57.653600,0.000000,top
"U2","THONKICONNLEFT","WQP-PJ301M-12_JACK_L",140.350100,-68.953600,180.000000,top
"U3","THONKICONNLEFT","WQP-PJ301M-12_JACK_L",140.350100,-81.353600,0.000000,top
"U4","THONKICONNLEFT","WQP-PJ301M-12_JACK_L",140.350100,-92.553600,180.000000,top
"U5","THONKICONNLEFT","WQP-PJ301M-12_JACK_L",140.350100,-105.003600,180.000000,top
"U6","THONKICONNLEFT","WQP-PJ301M-12_JACK_L",140.350100,-117.453600,0.000000,top
"U7","THONKICONNLEFT","WQP-PJ301M-12_JACK_L",140.350100,-128.653600,180.000000,top
"U8","THONKICONNLEFT","WQP-PJ301M-12_JACK_L",140.350100,-141.053600,0.000000,top
"U9","THONKICONNLEFT","WQP-PJ301M-12_JACK_L",140.350100,-152.253600,180.000000,top
